user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1535,285039,92886,180090,13796,46660,9869,906665,255338,482376,13483,50969,632249,357358,168462,173314,386849,101034
4470,101732,1800054678,68884,1052873,203325,92816,74652,333017,136997,844554,1072593,371738,229850,101823,407007,97579,357358
5060,125388,53932,256795,251626,358796,57222,427184,847160,625696,104295,285039,18391,368078,286851,35526,286566,839492
7108,187281,40961,316717,24386,52125,47907,189616,461834,52543,601528,176615,54697,88099,37036,632249,232480,101823
8629,37636,27643,59163,331557,377581,407007,560491,847160,46660,185926,164368,140806,60260,207176,47892,394077,81611
8688,339260,121185,1122161,358796,252816,288146,1800054678,105601,174991,383346,218535,373018,226863,232480,131126,182624,104295
9869,264017,1535,485151,67656,285039,180090,13796,92886,189616,255338,177753,38643,906665,632249,46660,482376,59473
11176,166294,185926,64642,601528,189475,135887,88099,386585,57222,333017,382203,227652,620763,625696,32058,294000,147109
13483,357358,386849,43083,101034,32058,46660,353131,230557,68960,1365025,136997,88099,1535,232480,74652,38643,333017
13796,1535,341344,136997,482376,632249,67656,285039,37036,1052873,128473,92886,9869,844554,255338,28649,906665,119466
17803,464080,482376,46660,341344,400708,91392,318235,140132,58836,286851,203111,26512,59473,57222,182624,386585,37868
18391,232190,1581225,368078,288351,579298,60989,60992,80998,426903,124190,26512,494084,222433,1320105,5060,969481,125640
20480,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
22015,37305,189475,251626,546010,173579,485151,264017,119466,95743,2123645,177753,92816,9869,227652,229619,324621,579298
22655,37868,262312,88099,35526,36944,318235,189616,1179225,632249,1581225,540346,485151,227607,331557,248023,560491,204024
24386,7108,347822,324390,218535,101823,789516,140132,40961,251626,117781,52125,482376,187281,229524,52543,88099,174991
26512,269331,59473,209747,95743,18391,329638,382203,124249,222433,264017,485151,368078,9869,844554,60992,101732,288351
27643,173880,8629,74281,140806,359220,394077,135887,173579,250031,218535,92886,126104,377581,51011,810787,373018,50969
27783,104295,147109,286566,54697,35526,101034,914720,172369,54678,199792,464080,369715,60992,37036,357358,229619,65056
28649,37036,54678,177933,128473,39301,1052873,844554,119466,180090,97579,47559,218535,189616,482376,690623,481092,37779
29782,1269015,1800054678,844554,207176,68884,121185,142367,135887,203111,92886,39835,81611,218535,187373,928301,229619,357358
31499,37036,369715,286851,187373,101823,1800054678,97579,1365025,53932,1269015,969481,371738,35526,101034,486718,426903,22015
32058,357358,386849,333017,168462,164368,101034,81611,1365025,88099,294000,230557,57042,43083,1133190,68960,520150,136997
32772,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
33159,47907,461834,37449,50969,53932,440324,74652,68884,625696,280166,369715,59163,185446,101732,136997,32058,4470
35526,128473,22655,286566,262312,27783,88099,58836,540346,369715,1179225,560491,229619,5060,65056,64642,101823,68460
36944,318235,632249,189616,1581225,22655,1133190,623399,131021,248023,53932,222564,169969,620763,13796,140132,8629,37305
37036,28649,128473,119466,47559,844554,1052873,180090,97579,189616,482376,89831,55578,481092,187281,690623,13796,57042
37305,189475,204024,251626,101823,92816,95743,60989,47559,810787,140132,37636,315055,227607,229850,447165,184723,226863
37449,520150,255338,355637,371738,357358,315055,68884,33159,280166,88099,93006,125640,76951,347822,24386,251626,185446
37636,560491,407007,8629,377581,331557,46660,357358,60260,125640,124249,104295,146047,145352,189475,269331,37305,140132
37779,286566,341344,37036,89831,844554,180090,76951,1052873,28649,97579,286851,520150,47559,128473,119466,579298,189616
37868,318235,189616,632249,22655,1581225,248023,620763,140132,54678,485151,8688,39301,28649,50969,13796,355637,119466
38643,316717,264017,142367,485151,192264,229619,9869,177753,173579,13483,117781,189616,59473,42720,362983,60260,382203
39301,54678,28649,229850,969481,60989,226863,176615,789516,355637,218535,39835,227607,54697,331557,369715,37868,125640
39835,256795,125388,166642,145352,57222,199020,177933,222564,251626,39301,53932,54678,129652,347822,28649,47510,625696
40961,7108,307214,315055,52543,88099,28649,24386,218535,54697,928301,632249,529278,54678,140132,188119,145352,623399
42720,324390,362983,47510,142367,140132,690623,104295,126104,173579,60260,38643,64642,55729,24386,92816,250031,134624
43083,386849,168462,1365025,101034,353131,329638,357358,136997,160974,64583,166642,68960,230557,269331,232480,46660,88099
44383,169969,353579,105601,76951,126104,180090,324621,74652,204024,164368,579298,9869,60260,89831,173579,485151,222970
46660,13483,1535,185285,58104,17803,357358,37636,168462,101034,227607,560491,386849,407007,663997,60260,8629,1320105
47510,145352,199020,362983,165933,60260,42720,142367,184723,173579,690623,256795,288146,2123645,126104,104295,204024,623399
47559,37036,128473,844554,119466,329638,28649,187281,482376,89831,180090,97579,251626,1052873,690623,64583,189616,269331
47892,8629,13796,57222,369715,906665,121185,93006,386585,140806,47559,135887,623399,187373,593513,37779,353131,358698
47907,789516,316717,262312,187281,914720,7108,33159,461834,136997,601528,663997,625696,2549237,278113,189616,121185,298447
49304,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
50151,307214,339260,142335,1122161,97579,461834,229850,52543,47559,373018,663997,226863,58836,55578,93006,95743,383346
50969,353131,928301,1535,264017,33159,337963,185926,140132,359220,969481,171084,55729,37868,8629,400708,164368,369715
51011,80998,623399,203111,529278,337963,65056,166294,1800054678,2549237,355637,39835,37779,286851,74652,97579,125388,350750
52125,218535,7108,158086,464080,620763,177933,52543,134624,145352,185446,88099,355637,928301,24386,54697,285039,54678
52543,447165,230557,59473,226863,232480,121185,60260,134624,1581225,229850,40961,52125,7108,222433,13483,88099,501778
53932,5060,461834,1122161,36944,373018,447165,174991,280271,33159,39835,847160,383346,125388,198154,57222,256795,222564
54678,28649,39301,133174,147109,60989,27783,176615,226863,229619,140132,355637,39835,60992,40961,218535,52125,168462
54697,914720,172369,27783,199792,464080,357358,37036,40961,7108,52125,218535,969481,125640,55578,39301,121185,229850
55578,341344,353131,129652,97579,128473,47559,28649,481092,386585,199792,844554,119466,486718,180090,1052873,189616,539686
55729,146047,808027,937635,124249,439797,158086,199792,209747,47510,625696,192264,906665,218535,285039,134624,690623,331557
56463,129652,280166,315055,32058,33159,663997,199792,1581225,232480,222433,400708,74652,11176,226863,333017,52543,1269015
57042,690623,126104,37036,341344,28649,128473,47559,119466,1052873,180090,189616,265954,158086,844554,377581,286851,218535
57222,59780,166294,39835,64642,103876,5060,92816,177753,329638,501778,176615,173314,135887,125388,11176,383346,53932
58104,663997,95743,810787,269331,256795,46660,1800054678,400708,229850,176615,74281,501778,226863,140132,209747,58836,386585
58836,35526,262312,88099,1179225,540346,126440,142367,222970,285039,625696,50151,382203,67656,121185,58104,269331,124249
59163,8629,906665,126104,37779,232190,33159,1179225,1581225,74281,222433,68884,264017,288351,218535,371738,579298,9869
59473,98919,222433,142335,341344,189616,52543,198154,37036,128473,485151,1052873,28649,26512,230557,180090,447165,264017
59780,11176,64642,135887,189475,57222,625696,382203,620763,623399,121185,331557,250031,117781,147109,248023,407007,482376
60260,192264,145352,353579,879716,428885,199020,142335,52543,227607,839492,447165,560491,362983,46660,363055,230557,37636
60989,177933,232190,182624,358796,54678,18391,1581225,39301,226863,251626,60992,140806,232480,579298,204024,28649,369715
60992,232190,269331,140806,147109,371738,1320105,18391,362983,1581225,60989,124249,579298,288351,229619,329638,227652,125640
61660,1269015,593513,386585,135887,92886,386849,43083,1365025,209747,394077,59473,265954,67656,226863,37779,37636,55729
64203,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
64583,255338,1072593,248023,386585,203111,810787,47559,57222,377581,126104,92816,43083,1179225,142367,199020,147109,140132
64642,166294,11176,135887,189475,57222,331557,386849,207176,192264,262312,1052873,126104,4470,177753,42720,382203,173314
64934,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
65056,400420,333017,250031,121185,232480,632249,51011,286566,145352,104295,27783,35526,187373,37636,369715,37779,88099
65197,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
67656,482376,46660,1535,285039,180090,9869,13796,464080,906665,92886,632249,255338,400708,341344,91392,318235,331557
68460,92886,97579,104295,286566,369715,27783,35526,1365025,26512,65056,5060,222564,134624,37636,256795,358796,47892
68884,101732,4470,124190,203325,264017,101823,383346,103876,136997,37449,440324,339260,371738,74281,74652,1072593,1122161
68960,486718,278113,1072593,844554,168462,357358,198154,101034,43083,74652,386849,359220,32058,461834,426903,222433,690623
73836,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
74281,285039,68884,187373,140806,173880,58104,80998,768828,185285,839492,59163,97579,8629,663997,810787,125388,439797
74652,1800054678,4470,136997,203325,105601,204024,180090,333017,101732,44383,68884,68960,188119,13483,768828,89831,168462
76951,353579,286566,520150,1269015,37779,44383,60260,93006,286851,400708,124190,126104,37449,440324,140132,38643,126440
80353,666723,1133190,131021,347822,58104,248023,157425,341344,256795,482376,625696,400420,386849,357358,129652,185926,363055
80998,232190,18391,288351,373018,1581225,470351,969481,579298,623399,539686,174096,60992,74281,294000,494084,222564,1320105
81611,1133190,482376,32058,280271,400708,47559,8629,1052873,906665,50151,117781,316717,92886,229524,173579,199792,24386
83093,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
85873,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
88099,232480,35526,13483,357358,168462,185926,369715,262312,58836,182624,40961,11176,358796,101034,540346,131126,32058
